ano,id_municipio_6,nome_municipio,grupo_renda,tae_creche_capped,tel_creche_capped,tae_pre_capped,tel_pre_capped,Total_mulheres,log_emp_mulher,Total_emp,Total_mulheres_negras,rem_med_mulheres_negras,pib_per_capita
2009,230640,Itapipoca,Maior Dinamismo Econômico,26.82983682983683,17.34265734265734,91.1989223170184,67.06331387516839,3928,8.27614021955846,8497,700,1017.354196571429,5158.046504312266
2010,230640,Itapipoca,Maior Dinamismo Econômico,26.995611433993595,17.24587830625074,94.02487783207464,71.01288316303865,3895,8.267705664762426,8523,847,1047.285357024793,6074.010252875544
2011,230640,Itapipoca,Maior Dinamismo Econômico,27.18228117967547,17.067393106715624,96.99976921301638,72.58250634664205,4287,8.363575702750637,9420,1130,1060.800204955752,6819.281509357028
2012,230640,Itapipoca,Maior Dinamismo Econômico,29.503105590062116,17.4988055422838,94.33373349339736,67.92316926770708,5797,8.6652683094816,11724,1241,1134.087852699436,7778.017096882333
2013,230640,Itapipoca,Maior Dinamismo Econômico,30.14849074975657,18.4761441090555,93.360018836826,67.17683070402637,4595,8.432941638968646,9418,1256,1194.796872611465,8202.937326133202
2014,230640,Itapipoca,Maior Dinamismo Econômico,31.396060198213632,19.00159060320568,91.6783872480075,68.19034224097516,5373,8.589327789175437,10825,1484,1211.077318059299,9688.67352139338
2015,230640,Itapipoca,Maior Dinamismo Econômico,27.36625514403292,16.424594529169692,94.256434699714,70.11439466158245,6407,8.765302488748196,12805,1789,1173.499801900503,9535.278111244497
2016,230640,Itapipoca,Maior Dinamismo Econômico,28.863470430761744,18.301289851545388,94.86117876278615,70.5796395518753,6877,8.83608319099221,13988,2216,1195.174571299639,10534.562796077127
2017,230640,Itapipoca,Maior Dinamismo Econômico,32.15324927255092,20.647429679922404,95.8955223880597,70.72139303482588,5519,8.616133139271142,11604,2070,1307.952010434783,12241.297611108932
2018,230640,Itapipoca,Maior Dinamismo Econômico,31.44758735440932,19.95483717613501,97.81165478239488,72.87927219080403,5730,8.653645314551737,12188,2244,1319.383381684492,12875.006828735319
2019,230640,Itapipoca,Maior Dinamismo Econômico,29.951519451342083,16.34149225493674,95.5917020273456,70.24988213107025,5686,8.645938147306799,11950,2230,1296.436713004484,12972.587702345429
2007,230650,Itapiúna,Menor Dinamismo Econômico,36.45743766122098,21.84006878761823,95.36741214057508,60.38338658146965,490,6.19644412779452,743,47,946.0673510638298,2613.112146347006
2008,230650,Itapiúna,Menor Dinamismo Econômico,39.91489361702128,25.617021276595747,99.49748743718592,66.66666666666666,443,6.095824562432225,690,41,1035.884546341463,3123.273518216422
2009,230650,Itapiúna,Menor Dinamismo Econômico,43.30855018587361,24.721189591078065,87.87878787878788,58.333333333333336,567,6.342121418721152,897,69,1167.720208695652,3031.1123052122516
2010,230650,Itapiúna,Menor Dinamismo Econômico,31.734006734006737,15.572390572390574,100.0,69.73180076628353,688,6.535241271013659,1041,189,1167.310243386243,3500.912702673682
2011,230650,Itapiúna,Menor Dinamismo Econômico,28.507596067917785,11.974977658623772,100.0,71.96819085487077,791,6.674561391814426,918,54,1199.888490740741,4195.802337938363
2012,230650,Itapiúna,Menor Dinamismo Econômico,31.894934333958723,14.446529080675422,86.83001531393569,58.49923430321593,522,6.259581464064923,567,481,1770.977907692308,3857.1729180914303
2013,230650,Itapiúna,Menor Dinamismo Econômico,30.08763388510224,14.021421616358326,100.0,59.16230366492147,857,6.754604099487962,1097,490,1891.0192,4654.129527538771
2014,230650,Itapiúna,Menor Dinamismo Econômico,42.641129032258064,23.08467741935484,98.13084112149532,60.74766355140186,781,6.661854740545311,978,468,1950.94601025641,5351.660705160961
2015,230650,Itapiúna,Menor Dinamismo Econômico,44.153225806451616,19.657258064516128,88.64468864468864,56.59340659340659,809,6.697034247666484,1048,458,1911.710862227074,5703.964713039952
2016,230650,Itapiúna,Menor Dinamismo Econômico,37.06004140786749,19.66873706004141,100.0,65.5367231638418,625,6.439350371100098,727,452,1851.205064159292,6193.488325281804
2017,230650,Itapiúna,Menor Dinamismo Econômico,38.66943866943867,24.42827442827443,100.0,66.52806652806653,632,6.450470422144176,745,407,1999.280980835381,6750.52463275707
2018,230650,Itapiúna,Menor Dinamismo Econômico,46.27492130115425,30.11542497376705,91.5401301518438,58.56832971800434,641,6.464588303689961,747,404,1985.803273514852,6676.79928475637
2019,230650,Itapiúna,Menor Dinamismo Econômico,45.36312849162012,25.363128491620117,88.84540117416829,60.861056751467714,681,6.525029657843462,817,422,2044.074052132701,7154.302816210382
2007,230655,Itarema,Maior Dinamismo Econômico,27.263906856403626,13.583441138421732,100.0,72.2040549378679,1294,7.166265974133638,2470,50,1069.849082,5052.921623512946
2008,230655,Itarema,Maior Dinamismo Econômico,31.537190082644628,19.43801652892562,100.0,73.71879106438897,1138,7.037905963447182,2325,55,1389.746647272727,5295.904190285651
2009,230655,Itarema,Maior Dinamismo Econômico,31.03565365025467,19.015280135823428,94.760101010101,70.89646464646465,1383,7.232733136177615,2445,59,1121.222020338983,4810.652507116269
2010,230655,Itarema,Maior Dinamismo Econômico,32.48187780462548,17.949603037625128,92.44808055380742,69.41472624292008,1509,7.31986492980897,2689,71,1015.382487323944,5576.632595874143
2011,230655,Itarema,Maior Dinamismo Econômico,32.15038650737878,16.760365425158117,99.07161803713528,66.9761273209549,1611,7.385230923066573,3015,89,1252.655194382023,6286.232837077174
2012,230655,Itarema,Maior Dinamismo Econômico,32.587859424920126,17.287894923677673,98.95543175487464,64.76323119777159,1231,7.116394144093465,2294,104,1310.726280769231,6450.87814875347
2013,230655,Itarema,Maior Dinamismo Econômico,34.295227524972255,18.349981502034776,96.72929714683367,65.62282533054976,1681,7.427738840532894,2844,529,1061.383640831758,8941.737985516787
2014,230655,Itarema,Maior Dinamismo Econômico,37.6298576375529,20.046171604463257,92.88158795345652,63.65503080082136,1230,7.115582126184454,2360,173,1275.011195375723,9489.000125140783
2015,230655,Itarema,Maior Dinamismo Econômico,32.95938104448743,18.065764023210832,100.0,68.84315117104329,1308,7.1770187659099,3146,241,1425.583460580913,9815.040348532106
2016,230655,Itarema,Maior Dinamismo Econômico,32.073986619441165,16.05667060212515,100.0,67.69911504424779,1553,7.348587530927593,3100,270,1223.360844444445,10620.694723433442
2017,230655,Itarema,Maior Dinamismo Econômico,33.64875094625284,16.88115064345193,100.0,70.09273570324575,1430,7.266128779556451,2828,269,1215.032841635688,18684.768372544262
2018,230655,Itarema,Maior Dinamismo Econômico,39.31436907366886,24.398249452954047,100.0,70.87691069991955,1444,7.275864600546533,2763,328,1174.26743597561,17988.152973820725
2019,230655,Itarema,Maior Dinamismo Econômico,40.18691588785047,22.178289000718905,100.0,68.24167312161116,1414,7.254884810077338,2603,322,1152.50049689441,14705.637641658299
2007,230660,Itatira,Menor Dinamismo Econômico,7.518296739853627,1.4637391882900863,100.0,79.57658779576587,482,6.180016653652572,664,3,1583.531966666667,2863.304878738199
2008,230660,Itatira,Menor Dinamismo Econômico,9.445178335535006,1.056803170409511,100.0,79.0757381258023,485,6.186208623900494,692,4,944.978,3861.887076807148
2009,230660,Itatira,Menor Dinamismo Econômico,7.172413793103448,4.551724137931035,100.0,81.3157894736842,514,6.244166900663736,771,7,1315.9168,3644.662251655629
2010,230660,Itatira,Menor Dinamismo Econômico,19.471488178025037,6.536856745479833,100.0,67.0299727520436,518,6.251903883165888,788,7,1591.961342857143,4019.8475706573518
2011,230660,Itatira,Menor Dinamismo Econômico,22.78195488721805,6.992481203007518,100.0,68.10228802153432,496,6.208590026096629,749,14,1469.66915,5142.2902198318625
2012,230660,Itatira,Menor Dinamismo Econômico,20.763723150358,5.88703261734288,100.0,65.76923076923077,490,6.19644412779452,746,20,1476.85944,3427.400649451059
2013,230660,Itatira,Menor Dinamismo Econômico,22.98657718120805,8.724832214765101,100.0,67.46817538896747,482,6.180016653652572,737,26,1437.286307692308,4668.4456975983085
2014,230660,Itatira,Menor Dinamismo Econômico,20.05163511187608,6.282271944922548,100.0,69.14893617021278,574,6.354370040797351,925,26,1530.976615384615,5349.653832743936
2015,230660,Itatira,Menor Dinamismo Econômico,21.666666666666668,7.416666666666667,100.0,70.78651685393258,585,6.373319789577012,955,20,1486.026185,5630.465861473996
2016,230660,Itatira,Menor Dinamismo Econômico,34.36161096829478,18.594687232219364,100.0,71.11853088480802,652,6.481577129276431,1068,20,1217.25285,5484.6709627025975
2017,230660,Itatira,Menor Dinamismo Econômico,44.55445544554456,33.16831683168317,100.0,81.54657293497364,620,6.431331081933479,1083,20,1296.26352,6310.423216444982
2018,230660,Itatira,Menor Dinamismo Econômico,64.44805194805194,50.16233766233766,100.0,77.97513321492006,700,6.55250788703459,1209,23,1424.279804347826,6018.473972866353
2019,230660,Itatira,Menor Dinamismo Econômico,58.63746958637469,41.20032441200324,100.0,72.42472266244057,767,6.643789733147672,1266,21,1191.579047619048,6322.030766387952
2007,230670,Jaguaretama,Maior Dinamismo Econômico,13.262342691190709,4.162633107454018,93.12080536912752,66.77852348993288,674,6.51471269087253,927,535,844.5614985046728,3403.5628256120103
2008,230670,Jaguaretama,Maior Dinamismo Econômico,10.263929618768328,4.69208211143695,100.0,74.80916030534351,739,6.606650186198215,1101,602,902.7794338870432,4066.942193702757
2009,230670,Jaguaretama,Maior Dinamismo Econômico,14.92985971943888,7.314629258517034,100.0,70.42801556420234,786,6.668228248417403,1163,617,1091.779430794165,4362.174786812232
2010,230670,Jaguaretama,Maior Dinamismo Econômico,18.51851851851852,8.024691358024691,96.71814671814673,66.40926640926641,766,6.642486801367256,1168,614,1125.65170456026,4619.940659463696
2011,230670,Jaguaretama,Maior Dinamismo Econômico,25.29348986125934,8.751334044823906,83.8150289017341,63.77649325626204,789,6.672032945461067,1199,679,1185.333930044183,5666.349224133101
2012,230670,Jaguaretama,Maior Dinamismo Econômico,22.32905982905983,5.982905982905983,92.27722772277228,65.34653465346535,608,6.411818267709897,919,533,1217.053287054409,5284.993553450306
2013,230670,Jaguaretama,Maior Dinamismo Econômico,21.49321266968326,6.900452488687783,99.16492693110646,67.22338204592901,814,6.703188113240863,1230,74,1117.430243243243,5984.756097560976
2014,230670,Jaguaretama,Maior Dinamismo Econômico,19.61492178098676,5.776173285198556,100.0,68.52248394004282,698,6.54965074223381,1072,63,1133.740457142857,7205.017205017205
